sample,MgO,Al2O3,SiO2,S,Cl,K2O,V,Cr,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Y,Zr,Nb,Mo,Rh,Pd,Cd,Sn,Sb,Ba,La,Ce,Hf,Ta,W,Hg,Tl,Pb,Bi,Th,U,section,Ti,Fe,Mn,Ca,P
TG02.35A,0.7553785406788305,0.7390786567797857,1.705442840355913,0.1224,0.2255,0.099147151739864,,0.0015198059163982858,,0.0011365167621803852,0.009678839407485108,0.0008123367052421189,,,0.0005,0.00011205923446193865,0.28042595571210954,,,0.0005,,,,,,,,,,,,,,,,,,,TG02,,0.19991470847700635,0.01777641579381705,37.9552054009232,0.02063650001292051
TG02.36B,0.4452136696101889,0.3964746670366718,1.6836809917470017,0.0549666666666666,0.1755666666666666,0.03865841413325376,,0.0010720273120998142,,0.0010623549297909605,0.0018567322728707367,0.0003425102189381514,,,,0.0003498160603863619,0.2850975780029191,0.0003845361983121659,,0.0007,,,,,,,0.0074,0.0173,,,,,,,,,0.0016,,TG02,,0.1583214977163917,0.02070914118464519,38.408933391303435,0.01872972179149896
TG02.37A,0.5017568468318034,0.43309126445345425,1.683813148722359,0.1273333333333333,0.2070666666666666,0.06751410291398606,,0.0018953621651647454,,0.0010488709602656013,0.007301194507536257,0.0003425102189381514,,0.0007,0.0004,0.00011205923446193865,0.2831305791436309,0.00042217017299571024,,,,,,,0.00425,0.003,0.0119999999999999,,,,,,,,,,0.0013,,TG02,,0.17034845022548514,0.02171633980371745,38.292391078367565,0.016893045710570848
TG02.38A,,0.40105174171376967,2.1649526436748374,0.0434,0.3437,0.04385243811378557,,,,0.0009140312650120705,0.001202018459841377,0.0003425102189381514,,,,0.00018338628223927276,0.1990765028886878,,,,,,,,,,,,0.0425,,,,,,,,,,TG02,,0.15691835325699757,0.021597845848532502,38.29679019840761,0.015736360392429122
TG02.39A,0.4036505378086959,0.2171727416425352,1.7449577759878827,0.056,0.1837,0.04363602044793009,,0.001375361205334263,,0.000994935082164185,0.004613422011941903,0.0006557278764741296,,,,0.0003973674255712751,0.2382759801559325,,,,,,,,,,,,,,,,0.0011,,0.0026,,,,TG02,,0.13136107917517414,0.02150897538214377,37.1784170326022,0.017208505342791346
TG02.39B,0.26709833186920745,0.7362528106747946,2.9033136649986324,0.0235,0.1575333333333333,0.05485366946143973,,0.0031279570329110565,,0.0010353869907402625,0.0015466046772252343,0.00018590139017016222,,0.0005,0.00045,0.00013583491705435958,0.2378896053800008,,,,,,,,,0.005,,,,,,,,,,,0.0013,,TG02,,0.1592569273559879,0.019079849300851718,37.62162837663669,0.019045181423719443
TG02.3A,0.6414984458713366,0.9812599223652573,5.502709213310375,0.1815142857142857,0.2191714285714285,0.17724301230428904,,0.0013811389937768237,,0.0010873965874808958,0.0014530741325067395,0.0007004732561220819,,,0.0003333333333333,0.0005705902558876273,0.3085309572704605,0.0005350720970463432,0.00738487555291536,0.00065,,,,0.00145,,,,,,,,,,,0.0021,,0.0012,0.00125,TG02,0.022305660428647817,0.3659009709031008,0.030357934678278835,36.66992097966985,0.017872472759179192
TG02.40A,0.2687002442407234,0.2998784910252247,1.0069932255901612,0.0690666666666666,0.2530333333333333,0.04262607134060438,,0.0014042501475470671,,0.0010825808840789891,0.004578963390203445,0.00022505359736215948,,,0.0005,6.450786927702552e-05,0.30575106602544594,,,0.0005499999999999,,,,,,0.0033,,,,,,,,,,,0.0012666666666666,0.0011,TG02,,0.10947870724890699,0.017509804394650857,38.52516639111149,0.015336778191616518
TG02.40B,0.5694701157250688,0.15166087278598706,0.9067741859438616,0.0359333333333333,0.2683666666666666,0.012652224619618607,,0.0012116571994616936,,0.001042128975502932,0.0030627840337143913,0.00023810433309277309,,,0.0004,8.828355186944639e-05,0.3077180648847342,,,0.0009,,,,,,,0.00835,0.01985,,,,,,,,,0.0012,0.0011,TG02,,0.09558089546062139,0.017717168816224534,39.148501079910616,0.022949870649204007
TG02.41A,,0.3419477774051586,0.6906094265836886,0.0689,0.3138,0.05737854222975387,,0.000913138129929389,,0.0010151610364522135,0.002339152977208219,0.0006557278764741296,,,0.0004,0.00011205923446193865,0.28042595571210954,,,,,,,,,,,,,,,,,,,,0.0012,,TG02,,0.16944642878730315,0.02150897538214377,38.902837720174375,0.025158088074747342
