sample,Mean_Susc_976,Mean_Susc_15616,Std_Susc_976,Std_Susc_15616,Phase,X_fd,X_fv,X_on
TG01.60A,2.8044666666666668e-08,2.26665e-08,3.7237973450049376e-11,7.432563487788083e-11,0.1233656892951325,19.17714598141061,5.378166666666668e-09,7.893789834352522
TG01.61B,2.9934875e-08,2.4064666666666668e-08,1.0471517491339516e-10,1.213666620891687e-10,0.136659280431156,19.609931002996777,5.870208333333331e-09,8.754567372007036
TG01.62A,1.5901e-08,1.2573666666666666e-08,2.5059928172284356e-11,3.2347076117222054e-11,0.134681240612229,20.92530868079577,3.327333333333335e-09,8.626294814800941
TG01.62B,1.6182e-08,1.2843e-08,1.7930421077041208e-11,1.241329931968134e-10,0.154810704651897,20.634037819799776,3.3389999999999993e-09,9.935051647227622
TG01.63A,1.8698e-08,1.4857333333333336e-08,5.291502622130491e-12,5.52207690396779e-11,0.1315396479586393,20.540521267871775,3.840666666666665e-09,8.42270867723352
TG01.64A,1.47345e-08,1.1749333333333332e-08,2.7090588771748742e-11,9.091241206054692e-11,0.1360775040138245,20.259707941678837,2.985166666666668e-09,8.716832950850506
TG01.66B,1.60784e-09,9.732199999999999e-10,3.263606900348143e-11,4.933101044981746e-10,0.2748893571891069,39.47034530799085,6.346200000000001e-10,17.954534492553503
TG01.67A,1.3016e-09,8.411966666666667e-10,2.1295539439046848e-11,7.191002535576433e-11,0.3215187370382221,35.37210612579389,4.604033333333333e-10,21.20426262184809
TG01.69A,8.797083333333332e-10,4.232166666666666e-10,1.734178354918164e-11,9.262625538510488e-11,0.4604760343178373,51.8912518353621,4.5649166666666654e-10,31.57900147740378
TG01.70A,4.257333333333333e-09,3.436883333333333e-09,6.504975531596286e-11,5.3871974779718766e-11,0.1521054443113058,19.271453178828686,8.2045e-10,9.758709049598467
TG01.70B,5.31886e-09,4.230666666666666e-09,6.248839892331996e-12,5.810338486984485e-11,0.1580221104755665,20.4591460074778,1.0881933333333339e-09,10.14458097314738
TG01.72B,1.01545e-09,7.117666666666665e-10,1.7273172841143048e-11,1.2400158560814178e-10,0.3372674246553843,29.906281287442354,3.0368333333333343e-10,22.324048733061208
TG01.73B,7.38084e-10,2.1576666666666683e-11,2.7382714072932938e-11,6.946617295010091e-10,0.3988077340807043,97.076665167289,7.165073333333334e-10,26.826427501209217
TG01.72A,2.295733333333333e-09,1.6949333333333334e-09,8.465419855703102e-12,4.587721293481841e-11,0.1950114550894997,26.170286909048656,6.007999999999995e-10,12.5746224819774
TG01.74A,8.75935e-09,6.97895e-09,3.2362864520928776e-11,6.581178465898005e-11,0.1398881395473455,20.32570909941948,1.7804e-09,8.96410390751094
TG01.74B,1.74876e-08,1.4308e-08,7.569676347110511e-12,2.6457513110644952e-11,0.136938533111475,18.182026121365997,3.179599999999999e-09,8.77268203729667
TG01.76A,1.8108166666666667e-08,1.6098166666666664e-08,6.856067872087301e-11,1.4667026510737155e-10,0.0804887673378051,11.099964104593706,2.0100000000000028e-09,5.135168162252189
TG01.77A,8.80418e-09,8.171933333333333e-09,1.2563319625003167e-11,6.580496435173652e-11,0.0815766892382149,7.181210137305999,6.322466666666673e-10,5.204884204045919
TG01.79A,2.9145166666666672e-08,2.4406666666666672e-08,8.704347572717264e-11,9.755750440979249e-11,0.1074250154602509,16.258270382167424,4.7385e-09,6.86531812564408
TG01.79B,2.64632e-08,2.1964e-08,1.6269603560014002e-11,5.167968653155679e-10,0.1229060859254406,17.001723147616328,4.4992000000000045e-09,7.8640824092813
TG01.80B,3.0262e-08,2.483066666666667e-08,4.092676385936429e-11,7.423161949825232e-11,0.1194386984781453,17.94770118740776,5.431333333333337e-09,7.640068361996086
TG01.81B,2.82598e-08,2.2831333333333334e-08,1.4652644812455926e-11,5.7492028432933984e-11,0.1432566250036945,19.20914750517224,5.428466666666665e-09,9.18290471456754
TG01.82A,1.0992833333333332e-08,8.599933333333333e-09,2.8978727830370158e-11,5.1507617559606224e-11,0.1469567230179225,21.76781842715709,2.3929e-09,9.423490870201029
TG01.83A,1.37114e-08,1.0819e-08,9.449867723941664e-12,3.4390841804178013e-10,0.1502728485967117,21.094855375818668,2.8924e-09,9.6393343908358
TG01.83B,1.5272800000000003e-08,1.2241333333333333e-08,2.170714168194499e-11,2.6510626800084126e-10,0.1454557398612074,19.848794370820475,3.03146666666667e-09,9.325863208886476
TG02.2B,2.0200666666666667e-09,1.6247285714285714e-09,8.142420545104098e-10,6.508296536692519e-11,0.2882120371459969,19.570546940930758,3.953380952380952e-10,18.87365258741767
TG02.2A,3.1845e-09,1.18776e-09,1.2445079348883398e-11,1.6179368934541295e-09,0.1891936909161853,62.70183702308055,1.9967400000000003e-09,12.190239547472917
TG02.4B,1.8502500000000003e-08,1.0904e-08,1.0111626970967514e-10,7.636753236814716e-11,0.1229584458030005,41.067423321172825,7.598500000000003e-09,7.867466628986941
TG02.3A,1.766e-08,1.2908e-08,0.0,1.4572077408523466e-09,0.1220857811770033,26.908267270668183,4.752000000000002e-09,7.811068670256191
TG02.6A,1.262e-08,7.53775e-09,2.687005768508886e-11,8.251936136446997e-11,0.1284562329467826,40.27139461172741,5.082249999999999e-09,8.223057177512548
TG02.5B,1.0646e-08,8.178933333333332e-09,8.544003745317587e-12,1.0782811939996632e-10,0.1692387598017168,23.173648944830617,2.4670666666666674e-09,10.878129172026414
TG02.5A,1.0038500000000001e-08,6.78862e-09,3.535533905933822e-12,1.4709776721622942e-09,0.1375319450571532,32.374159485978986,3.2498800000000004e-09,8.811180333952459
TG02.7A,9.608400000000001e-09,6.4638e-09,2.8001428534985928e-11,1.463618071765992e-09,0.1453859266911276,32.72761333832897,3.144600000000001e-09,9.321323435694287
TG02.8A,6.5002500000000006e-09,2.3646e-09,1.124299782086663e-11,7.863027406794378e-11,0.1536762406381007,63.62293757932388,4.135650000000001e-09,9.86108354953762
TG02.10B,2.1184666666666667e-09,1.2681333333333331e-09,8.504900548116534e-13,1.7036529380520304e-11,0.2661045332874021,40.13909431349719,8.503333333333333e-10,17.352268167090795
TG02.9A,2.7255999999999998e-09,5.7168e-10,9.899494936610316e-13,1.4964996799197788e-09,0.2594431933089571,79.02553566187261,2.15392e-09,16.897507012812817
TG02.12B,-1.2342e-09,-1.5926333333333332e-09,2.3653963727037333e-11,7.145112548682015e-11,3.013601841776876,29.041754442823976,3.5843333333333347e-10,-8.192935008780585
TG02.12A,-1.5244e-09,-4.5534e-09,8.626702730475894e-12,6.123544725075537e-11,3.021863066902982,198.7011283127788,3.0289999999999994e-09,-7.658854247576895
TG02.11B,-1.4652999999999999e-09,-6.0571e-09,3.3941125496953724e-12,1.0762165209659307e-10,3.0289316503735595,313.3692759161947,4.5918e-09,-7.202721557518046
TG02.11A,-5.4565e-10,-2.1281116666666667e-09,1.513208511739179e-12,1.4720106325487824e-09,2.765910532098013,290.0140505207856,1.5824616666666664e-09,-25.10921317956717
TG02.13A,-1.5813e-09,-2.7555000000000003e-09,9.574225817265844e-11,1.507118530507803e-09,3.0378328295587305,74.25535951432369,1.1742000000000003e-09,-6.629363447690397
TG02.13B,-1.3353e-09,-1.5696e-09,1.2165525060596336e-11,1.0728546033829574e-10,3.049788334934892,17.546618737362397,2.3430000000000006e-10,-5.860919042789977
TG02.14A,-3.5553e-10,-3.30075e-09,2.156675682618968e-11,4.3345645686735346e-11,2.560572545600881,828.4026664416505,2.94522e-09,-41.80219918426281
TG02.14B,-1.750333333333333e-10,-5.9399e-10,6.62136944546469e-12,6.894527394970587e-11,2.1544344286618005,239.35821748238436,4.189566666666667e-10,-96.40194410405182
TG02.16A,8.019299999999998e-10,-9.831398e-10,1.0707010880726704e-10,1.477788388877176e-09,0.6161012259539983,222.59671043607293,1.7850697999999999e-09,45.07519243903055
TG02.17A,-8.90255e-10,-4.1019e-09,1.0772771811377047e-10,6.844793641885773e-11,2.805965838431283,360.7556261969884,3.2116449999999994e-09,-22.20682848658447
TG02.15A,2.07465e-09,-1.6373e-09,1.0253048327204867e-11,5.982123368838192e-11,0.2937389131106456,178.9193357915793,3.71195e-09,19.257061700379595
TG02.18A,-2.5367e-09,-3.62252e-09,5.218448045156728e-11,1.468470133165806e-09,3.0919380363705544,42.80443095360113,1.0858199999999999e-09,-3.1637116677377226
TG02.18B,-2.422666666666666e-09,-2.4104e-09,2.0241129744491188e-11,2.2637329789531287e-10,1.021541211192281,-0.5063291139240523,-1.2266666666666709e-11,104.00910738264584
TG02.19A,-2.2786e-09,-4.95265e-09,5.374011537017655e-12,1.5931115780132918e-10,3.105987936849109,117.35495479680505,2.67405e-09,-2.2676249672484623
TG02.21B,1.0840333333333335e-09,4.3740666666666665e-10,2.175231788415499e-11,6.673494536847494e-11,0.3881612256435389,59.65007226100059,6.466266666666668e-10,26.03183265767547
TG02.20B,9.287533333333331e-10,2.162e-10,6.705388380499152e-12,4.724171779264594e-11,0.463617626971427,76.72148327866027,7.125533333333333e-10,31.82860276005499
TG02.21A,1.2786e-09,-4.60008e-10,1.781909088590098e-11,1.435645262284524e-09,0.3537782393792505,135.97747536367905,1.738608e-09,23.511393308397185
TG02.22B,3.817766666666667e-09,2.6992166666666672e-09,7.990809304027544e-11,3.4337234406204915e-11,0.1945460339556346,29.29854277806396,1.11855e-09,12.543839685192165
TG02.22A,2.33115e-09,3.8832e-10,3.535533905935285e-13,1.4561700096485986e-09,0.2398955056866206,83.34212727623705,1.94283e-09,15.57209864105746
TG02.23A,3.7605e-09,1.78895e-10,6.222539674441188e-12,3.260469368051172e-11,0.1684242728174527,95.242786863449,3.581605e-09,10.824770781283982
TG02.24A,5.77925e-09,1.23815e-09,8.131727983645159e-12,5.833630944789001e-11,0.1829105056090057,78.57593978457412,4.5411e-09,11.776065977512694
TG02.25A,5.7601e-09,1.34485e-09,3.662813126546241e-11,8.18122545832835e-11,0.1713913325458431,76.65231506397458,4.41525e-09,11.019219484424989
TG02.24B,6.5111666666666675e-09,4.7733e-09,1.3715805967326286e-11,8.637918730805464e-11,0.1840158808019354,26.690557247805057,1.737866666666667e-09,11.848859115003885
TG02.27A,2.53475e-08,1.78785e-08,1.7677669529663847e-11,3.181980515339329e-11,0.114493598930828,29.466416806391173,7.469000000000002e-09,7.3209062734600545
TG02.26A,2.9414e-08,2.13665e-08,4.242640687119416e-12,9.97020561473028e-11,0.1102175422634419,27.359420684028013,8.0475e-09,7.045218014160634
TG02.29A,3.1531999999999994e-08,2.2605e-08,2.9698484809838256e-11,3.2526911934580635e-11,0.1224348470274022,28.310922237726743,8.926999999999995e-09,7.833626399595698
TG02.28A,2.8259000000000002e-08,2.0504e-08,7.071067811867644e-12,7.91959594928942e-11,0.1151917306316257,27.44258466329312,7.755000000000002e-09,7.365942083093281
TG02.30A,2.38275e-08,1.6617000000000002e-08,1.9091883092038545e-11,3.9597979746448277e-11,0.1184205897478152,30.261252754170588,7.210499999999997e-09,7.57432806927746
TG02.32B,5.5363e-09,4.1138e-09,6.496922348311939e-12,4.096705993844327e-11,0.1787217154042193,25.694055596698167,1.4225000000000006e-09,11.500486729975435
TG02.34A,6.5193e-09,2.16045e-09,5.755849198858449e-11,3.896158364337873e-11,0.1663298777150596,66.86070590400809,4.35885e-09,10.687631160905548
TG02.35A,6.35745e-09,2.05295e-09,7.000357133746628e-12,6.554879861599287e-11,0.150185582134112,67.70796467136981,4.3045e-09,9.633651542058658
TG02.32A,6.89045e-09,2.5047000000000003e-09,2.4395183950936357e-11,2.0223253941935463e-11,0.1597848930200809,63.649689062397954,4.38575e-09,10.259685266770331
